d_stamp,t_stamp,s9_id,depth,temperature,threshold,const_err
2017-07-26,07:00:00,A015,23,26.35,,
2017-07-26,07:00:00,A00A,59,22.5,,
2017-07-26,07:00:00,A016,5,29.08,,
2017-07-26,07:00:00,A00C,77,19.78,,
2017-07-26,07:00:00,A00H,32,25.05,,
2017-07-26,07:00:00,A00B,14,28.73,,
2017-07-26,07:30:00,A00E,68,21.34,,
2017-07-26,07:30:00,A00D,50,23.66,,
2017-07-26,07:30:00,A015,23,26.47,,
2017-07-26,07:30:00,A00A,59,22.56,,
2017-07-26,07:30:00,A016,5,28.9,,
2017-07-26,07:30:00,A00H,32,25.15,,
2017-07-26,07:30:00,A00B,14,28.72,,
2017-07-26,08:00:00,A00E,68,21.43,,
2017-07-26,08:00:00,A00D,50,23.72,,
2017-07-26,08:00:00,A015,23,26.42,,
2017-07-26,08:00:00,A00A,59,22.75,,
2017-07-26,08:00:00,A00H,32,25.16,,
2017-07-26,08:00:00,A00C,77,19.86,,
2017-07-26,08:00:00,A016,5,28.85,,
2017-07-26,08:00:00,A00B,14,28.65,,
2017-07-26,08:30:00,A00E,68,21.4,,
2017-07-26,08:30:00,A00D,50,23.78,,
2017-07-26,08:30:00,A015,23,26.29,,
2017-07-26,08:30:00,A00A,59,22.91,,
2017-07-26,08:30:00,A00H,32,25.22,,
2017-07-26,08:30:00,A00C,77,20.03,,
2017-07-26,08:30:00,A016,5,28.76,,
2017-07-26,08:30:00,A00B,14,28.7,,
2017-07-26,09:00:00,A00E,68,21.4,,
2017-07-26,09:00:00,A00D,50,23.86,,
2017-07-26,09:00:00,A015,23,25.88,,
2017-07-26,09:00:00,A00A,59,22.68,,
2017-07-26,09:00:00,A016,5,28.79,,
2017-07-26,09:00:00,A00C,77,19.86,,
2017-07-26,09:00:00,A00H,32,25.2,,
2017-07-26,09:00:00,A00B,14,28.69,,
2017-07-26,09:30:00,A00E,68,21.27,,
2017-07-26,09:30:00,A00D,50,23.91,,
2017-07-26,09:30:00,A015,23,26.13,,
2017-07-26,09:30:00,A00A,59,22.63,,
2017-07-26,09:30:00,A016,5,28.78,,
2017-07-26,09:30:00,A00C,77,19.71,,
2017-07-26,09:30:00,A00H,32,25.22,,
2017-07-26,09:30:00,A00B,14,28.73,,
2017-07-26,10:00:00,A00E,68,21.25,,
2017-07-26,10:00:00,A00D,50,24.16,,
2017-07-26,10:00:00,A015,23,26.45,,
2017-07-26,10:00:00,A00A,59,22.63,,
2017-07-26,10:00:00,A00H,32,25.17,,
2017-07-26,10:00:00,A00C,77,19.59,,
2017-07-26,10:00:00,A016,5,28.79,,
2017-07-26,10:00:00,A00B,14,28.61,,
2017-07-26,10:30:00,A00E,68,21.26,,
2017-07-26,10:30:00,A00D,50,24.3,,
2017-07-26,10:30:00,A015,23,26.55,,
2017-07-26,10:30:00,A00A,59,22.53,,
2017-07-26,10:30:00,A016,5,28.76,,
2017-07-26,10:30:00,A00C,77,19.67,,
2017-07-26,10:30:00,A00H,32,25.18,,
2017-07-26,10:30:00,A00B,14,28.44,,
2017-07-26,11:00:00,A00E,68,21.26,,
2017-07-26,11:00:00,A00D,50,24.39,,
2017-07-26,11:00:00,A015,23,26.6,,
2017-07-26,11:00:00,A00A,59,22.55,,
2017-07-26,11:00:00,A00H,32,25.19,,
2017-07-26,11:00:00,A00C,77,19.65,,
2017-07-26,11:00:00,A016,5,28.76,,
2017-07-26,11:00:00,A00B,14,28.18,,
2017-07-26,11:30:00,A00E,68,21.27,,
2017-07-26,11:30:00,A00D,50,24.46,,
2017-07-26,11:30:00,A015,23,26.67,,
2017-07-26,11:30:00,A00A,59,22.51,,
2017-07-26,11:30:00,A00H,32,25.18,,
2017-07-26,11:30:00,A00C,77,19.72,,
2017-07-26,11:30:00,A016,5,28.77,,
2017-07-26,11:30:00,A00B,14,28.19,,
2017-07-26,12:00:00,A00E,68,21.27,,
2017-07-26,12:00:00,A00D,50,24.53,,
2017-07-26,12:00:00,A015,23,26.21,,
2017-07-26,12:00:00,A00A,59,22.34,,
2017-07-26,12:00:00,A00H,32,25.27,,
2017-07-26,12:00:00,A00C,77,19.73,,
2017-07-26,12:00:00,A016,5,28.81,,
2017-07-26,12:00:00,A00B,14,28.26,,
2017-07-26,12:30:00,A00E,68,21.26,,
2017-07-26,12:30:00,A00D,50,24.55,,
2017-07-26,12:30:00,A015,23,26.31,,
2017-07-26,12:30:00,A00A,59,22.29,,
2017-07-26,12:30:00,A016,5,28.83,,
2017-07-26,12:30:00,A00C,77,19.69,,
2017-07-26,12:30:00,A00H,32,25.32,,
2017-07-26,12:30:00,A00B,14,28.2,,
2017-07-26,13:00:00,A00E,68,21.25,,
2017-07-26,13:00:00,A00D,50,24.58,,
2017-07-26,13:00:00,A015,23,26.23,,
2017-07-26,13:00:00,A00A,59,22.22,,
2017-07-26,13:00:00,A00H,32,25.41,,
2017-07-26,13:00:00,A00C,77,19.57,,
2017-07-26,13:00:00,A016,5,28.86,,
2017-07-26,13:00:00,A00B,14,28.14,,
2017-07-26,13:30:00,A00E,68,21.24,,
2017-07-26,13:30:00,A00D,50,24.58,,
2017-07-26,13:30:00,A015,23,26.2,,
2017-07-26,13:30:00,A00A,59,22.18,,
2017-07-26,13:30:00,A016,5,28.89,,
2017-07-26,13:30:00,A00C,77,19.46,,
2017-07-26,13:30:00,A00H,32,25.31,,
2017-07-26,13:30:00,A00B,14,27.9,,
2017-07-26,14:00:00,A00E,68,21.15,,
2017-07-26,14:00:00,A00D,50,24.62,,
2017-07-26,14:00:00,A015,23,26,,
2017-07-26,14:00:00,A00A,59,22.14,,
2017-07-26,14:00:00,A00H,32,25.37,,
2017-07-26,14:00:00,A00C,77,19.57,,
2017-07-26,14:00:00,A016,5,28.92,,
2017-07-26,14:00:00,A00B,14,27.87,,
2017-07-26,14:30:00,A00E,68,20.93,,
2017-07-26,14:30:00,A00D,50,24.65,,
2017-07-26,14:30:00,A015,23,25.94,,
2017-07-26,14:30:00,A00A,59,22.12,,
2017-07-26,14:30:00,A016,5,28.95,,
2017-07-26,14:30:00,A00C,77,19.66,,
2017-07-26,14:30:00,A00H,32,25.36,,
2017-07-26,14:30:00,A00B,14,27.79,,
2017-07-26,15:00:00,A00E,68,20.86,,
2017-07-26,15:00:00,A00D,50,24.66,,
2017-07-26,15:00:00,A015,23,26.14,,
2017-07-26,15:00:00,A00A,59,22.08,,
2017-07-26,15:00:00,A00H,32,25.5,,
2017-07-26,15:00:00,A00C,77,18.83,,
2017-07-26,15:00:00,A016,5,28.95,,
2017-07-26,15:00:00,A00B,14,28.19,,
2017-07-26,15:30:00,A00E,68,20.72,,
2017-07-26,15:30:00,A00D,50,24.67,,
2017-07-26,15:30:00,A015,23,26.32,,
2017-07-26,15:30:00,A00A,59,21.86,,
2017-07-26,15:30:00,A016,5,28.98,,
2017-07-26,15:30:00,A00C,77,18.8,,
2017-07-26,15:30:00,A00H,32,25.52,,
2017-07-26,15:30:00,A00B,14,28.24,,
2017-07-26,16:00:00,A00E,68,20.9,,
2017-07-26,16:00:00,A00D,50,24.61,,
2017-07-26,16:00:00,A015,23,26.38,,
