d_stamp,t_stamp,chlorophyll_concentration,turbidity_units,threshold,const_err
2017-07-26,00:10:10,0.0714,0.1769,,
2017-07-26,00:40:10,0.0952,0.18910000000000002,,
2017-07-26,01:10:09,0.08330000000000001,0.18300000000000002,,
2017-07-26,01:40:11,0.0952,0.18910000000000002,,
2017-07-26,02:10:11,0.1071,0.2013,,
2017-07-26,02:40:10,0.08330000000000001,0.18300000000000002,,
2017-07-26,03:10:11,0.08330000000000001,0.18910000000000002,,
2017-07-26,03:40:10,0.08330000000000001,0.1952,,
2017-07-26,04:10:10,0.0714,0.1952,,
2017-07-26,04:40:10,0.08330000000000001,0.2013,,
2017-07-26,05:10:11,0.0714,0.1769,,
2017-07-26,05:40:11,0.0357,0.15860000000000002,,
2017-07-26,06:10:13,0.0476,0.2013,,
2017-07-26,06:40:10,0.0357,0.1769,,
2017-07-26,07:10:10,0.059500000000000004,0.21350000000000002,,
2017-07-26,07:40:09,0.0357,0.2013,,
2017-07-26,08:10:11,0.0476,0.15860000000000002,,
2017-07-26,08:40:10,0.0357,0.1708,,
2017-07-26,09:10:09,0.0476,0.15860000000000002,,
2017-07-26,09:40:10,0.0238,0.1708,,
2017-07-26,10:10:10,0.0357,0.15860000000000002,,
2017-07-26,10:40:11,0.0238,0.1464,,
2017-07-26,11:10:11,0,0.1708,,
2017-07-26,11:40:10,0.0476,0.1708,,
2017-07-26,12:10:09,0.0357,0.1708,,
2017-07-26,12:40:10,0.0476,0.1159,,
2017-07-26,13:10:11,0.0119,0.1647,,
2017-07-26,13:40:09,0.0714,0.1647,,
2017-07-26,14:10:09,0.0952,0.15860000000000002,,
2017-07-26,14:40:09,0.08330000000000001,0.1952,,
2017-07-26,15:10:13,0.059500000000000004,0.18300000000000002,,
2017-07-26,15:40:12,0.0357,0.1708,,
2017-07-26,16:10:10,0.059500000000000004,0.1708,,
2017-07-26,16:40:09,0.059500000000000004,0.1769,,
2017-07-26,17:10:10,0.0357,0.1769,,
2017-07-26,17:40:12,0.0476,0.1647,,
2017-07-26,18:10:11,0.0476,0.1769,,
2017-07-26,18:40:10,0.0357,0.1708,,
2017-07-26,19:10:11,0.0476,0.1769,,
2017-07-26,19:40:09,0.059500000000000004,0.1708,,
2017-07-26,20:10:09,0.0357,0.1647,,
2017-07-26,20:40:09,0.059500000000000004,0.1708,,
2017-07-26,21:10:09,0.0476,0.1708,,
2017-07-26,21:40:10,0.059500000000000004,0.1647,,
2017-07-26,22:10:12,0.0357,0.1647,,
2017-07-26,22:40:11,0.059500000000000004,0.1647,,
2017-07-26,23:10:11,0.0476,0.1708,,
2017-07-26,23:40:12,0.0476,0.1708,,
2017-07-27,00:10:11,0.0357,0.1647,,
2017-07-27,00:40:11,0.08330000000000001,0.1708,,
2017-07-27,01:10:11,0.059500000000000004,0.1769,,
2017-07-27,01:40:10,0.08330000000000001,0.1769,,
2017-07-27,02:10:09,0.0476,0.1769,,
2017-07-27,02:40:10,0.059500000000000004,0.18910000000000002,,
2017-07-27,03:10:10,0.0476,0.1769,,
2017-07-27,03:40:10,0.059500000000000004,0.1708,,
2017-07-27,04:10:14,0.059500000000000004,0.1708,,
2017-07-27,04:40:11,0.0476,0.18300000000000002,,
2017-07-27,05:10:11,0.0714,0.1769,,
2017-07-27,05:40:10,0.0476,0.18300000000000002,,
2017-07-27,06:10:14,0.0357,0.1769,,
2017-07-27,06:40:11,0.0238,0.15860000000000002,,
2017-07-27,07:10:09,0.059500000000000004,0.1464,,
2017-07-27,07:40:10,0.0714,0.1647,,
2017-07-27,08:10:11,0.0476,0.1708,,
2017-07-27,08:40:10,0.0357,0.15860000000000002,,
2017-07-27,09:10:09,0.0357,0.1769,,
2017-07-27,09:40:11,0.0357,0.1708,,
2017-07-27,10:10:10,0.0357,0.1708,,
2017-07-27,10:40:10,0.0238,0.18300000000000002,,
2017-07-27,11:10:10,0,0.1708,,
2017-07-27,11:40:09,0.059500000000000004,0.18910000000000002,,
2017-07-27,12:10:14,0.13090000000000002,0.12200000000000001,,
2017-07-27,12:40:11,-0.0357,0.1647,x,
2017-07-27,13:10:13,0.0714,0.1647,,
2017-07-27,13:40:10,-0.0357,0.1647,x,
2017-07-27,14:10:10,0.059500000000000004,0.15860000000000002,,
2017-07-27,14:40:12,0.1071,0.15860000000000002,,
2017-07-27,15:10:10,0.0952,0.1525,,
2017-07-27,15:40:10,0.059500000000000004,0.18300000000000002,,
2017-07-27,16:10:10,0.0714,0.1769,,
2017-07-27,16:40:10,0.0714,0.1708,,
2017-07-27,17:10:11,0.0476,0.18300000000000002,,
2017-07-27,17:40:09,0.08330000000000001,0.1708,,
2017-07-27,18:10:10,0.059500000000000004,0.18300000000000002,,
2017-07-27,18:40:10,0.0714,0.1708,,
2017-07-27,19:10:10,0.08330000000000001,0.1708,,
2017-07-27,19:40:11,0.08330000000000001,0.1769,,
2017-07-27,20:10:11,0.08330000000000001,0.18300000000000002,,
2017-07-27,20:40:13,0.0714,0.1769,,
2017-07-27,21:10:10,0.08330000000000001,0.1769,,
2017-07-27,21:40:09,0.08330000000000001,0.18300000000000002,,
2017-07-27,22:10:13,0.059500000000000004,0.18910000000000002,,
2017-07-27,22:40:11,0.08330000000000001,0.18300000000000002,,
2017-07-27,23:10:11,0.0714,0.1769,,
2017-07-27,23:40:10,0.08330000000000001,0.18300000000000002,,
2017-07-28,00:10:09,0.0714,0.18300000000000002,,
2017-07-28,00:40:10,0.08330000000000001,0.1769,,
2017-07-28,01:10:11,0.08330000000000001,0.18910000000000002,,
2017-07-28,01:40:15,0.059500000000000004,0.1769,,
2017-07-28,02:10:10,0.08330000000000001,0.1769,,
2017-07-28,02:40:11,0.0714,0.1708,,
2017-07-28,03:10:12,0.0714,0.1708,,
2017-07-28,03:40:11,0.08330000000000001,0.18300000000000002,,
2017-07-28,04:10:10,0.0952,0.1708,,
2017-07-28,04:40:11,0.0714,0.1708,,
2017-07-28,05:10:09,0.08330000000000001,0.1708,,
2017-07-28,05:40:13,0.0714,0.18910000000000002,,
2017-07-28,06:10:13,0.13090000000000002,0.1769,,
2017-07-28,06:40:10,0.0714,0.2013,,
2017-07-28,07:10:13,0.0714,0.18300000000000002,,
2017-07-28,07:40:10,0.0476,0.1769,,
2017-07-28,08:10:11,0.059500000000000004,0.1769,,
2017-07-28,08:40:09,0.059500000000000004,0.18300000000000002,,
2017-07-28,09:10:08,0.0357,0.1708,,
2017-07-28,09:40:10,0.0357,0.18910000000000002,,
2017-07-28,10:10:11,0.0357,0.18300000000000002,,
2017-07-28,10:40:10,0.0357,0.1769,,
2017-07-28,11:10:09,0.0714,0.1952,,
2017-07-28,11:40:11,0.0357,0.18300000000000002,,
2017-07-28,12:10:10,0.1547,0.1525,,
2017-07-28,12:40:11,0.0952,0.2318,,
2017-07-28,13:10:11,0.0357,0.18910000000000002,,
2017-07-28,13:40:12,0.1071,0.1464,,
2017-07-28,14:10:10,0.0357,0.1769,,
2017-07-28,14:40:08,0.08330000000000001,0.1708,,
2017-07-28,15:10:11,0.0952,0.1769,,
2017-07-28,15:40:12,0.059500000000000004,0.1647,,
2017-07-28,16:10:10,0.11900000000000001,0.1769,,
2017-07-28,16:40:13,0.0952,0.1769,,
2017-07-28,17:10:10,0.08330000000000001,0.18300000000000002,,
2017-07-28,17:40:12,0.11900000000000001,0.1769,,
2017-07-28,18:10:10,0.11900000000000001,0.18300000000000002,,
2017-07-28,18:40:10,0.0952,0.1952,,
2017-07-28,19:10:10,0.08330000000000001,0.1769,,
2017-07-28,19:40:13,0.0476,0.18300000000000002,,
2017-07-28,20:10:10,0.08330000000000001,0.18910000000000002,,
2017-07-28,20:40:12,0.0714,0.1769,,
2017-07-28,21:10:11,0.059500000000000004,0.18300000000000002,,
2017-07-28,21:40:11,0.059500000000000004,0.1769,,
2017-07-28,22:10:11,0.0714,0.18910000000000002,,
2017-07-28,22:40:10,0.0714,0.18300000000000002,,
2017-07-28,23:10:09,0.0714,0.1708,,
2017-07-28,23:40:12,0.0714,0.18300000000000002,,
2017-07-29,00:10:10,0.0714,0.1708,,
2017-07-29,00:40:10,0.0952,0.1769,,
2017-07-29,01:10:10,0.0714,0.1708,,
2017-07-29,01:40:10,0.08330000000000001,0.1769,,
2017-07-29,02:10:10,0.08330000000000001,0.18910000000000002,,
2017-07-29,02:40:10,0.0714,0.18910000000000002,,
2017-07-29,03:10:11,0.0714,0.18910000000000002,,
2017-07-29,03:40:10,0.059500000000000004,0.18300000000000002,,
2017-07-29,04:10:09,0.059500000000000004,0.18300000000000002,,
2017-07-29,04:40:12,0.1071,0.1708,,
2017-07-29,05:10:11,0.0476,0.1769,,
2017-07-29,05:40:10,0.059500000000000004,0.1769,,
2017-07-29,06:10:10,0.0357,0.18300000000000002,,
2017-07-29,06:40:14,0.059500000000000004,0.1769,,
2017-07-29,07:10:10,0.0714,0.1952,,
2017-07-29,07:40:11,0.0357,0.18910000000000002,,
2017-07-29,08:10:11,0.0952,0.1708,,
2017-07-29,08:40:10,0.0714,0.1647,,
2017-07-29,09:10:11,0.0357,0.1708,,
2017-07-29,09:40:09,0.0357,0.15860000000000002,,
2017-07-29,10:10:12,0.059500000000000004,0.15860000000000002,,
2017-07-29,10:40:11,0.0119,0.18910000000000002,,
2017-07-29,11:10:11,-0.0119,0.1464,x,
2017-07-29,11:40:10,0.1071,0.1708,,
2017-07-29,12:10:08,0.0238,0.0671,,
2017-07-29,12:40:11,0.11900000000000001,0.10980000000000001,,
2017-07-29,13:10:09,0.2737,0.1464,,
2017-07-29,13:40:12,-0.0238,0.0122,x,
2017-07-29,14:10:10,0.22610000000000002,0.15860000000000002,,
2017-07-29,14:40:12,0.1904,0.18910000000000002,,
2017-07-29,15:10:12,0.11900000000000001,0.15860000000000002,,
2017-07-29,15:40:09,0,0.1647,,
2017-07-29,16:10:10,0.0714,0.1769,,
2017-07-29,16:40:09,0.059500000000000004,0.18300000000000002,,
2017-07-29,17:10:10,0.059500000000000004,0.1708,,
2017-07-29,17:40:10,0.0952,0.1769,,
2017-07-29,18:10:12,0.0952,0.1769,,
2017-07-29,18:40:10,0.08330000000000001,0.18300000000000002,,
2017-07-29,19:10:11,0.08330000000000001,0.1769,,
2017-07-29,19:40:11,0.0952,0.18910000000000002,,
2017-07-29,20:10:10,0.0714,0.18910000000000002,,
2017-07-29,20:40:09,0.0714,0.18300000000000002,,
2017-07-29,21:10:11,0.0952,0.18910000000000002,,
